Clapeyron Database File
tc-PR; twu alpha Parameters [csvtype = like]
species,L,M,N
"""1,4-BUTANEDIISOCYANATE""",0.4631,0.8464,1.9349
"""1,4-CYCLOHEXADIENE""",0.2804,0.8758,2.1813
"""1,4-DIBROMOBENZENE""",0.55,0.913,1.77
"""1,4-DICHLOROBUTANE""",0.1564,0.8319,2.8669
"""1,4-DICYANO-2-BUTENE""",0.2741,0.813,3.2706
"""1,4-DIOXANE""",0.1396,0.8371,2.7697
"""1,4-DI-tert-BUTYLBENZENE""",0.2711,0.8318,2.8683
"""1,4-HEXADIENE""",0.1509,0.8398,2.721
"""1,4-PENTADIENE""",0.0,0.2467,0.62
"""1,5-CYCLOOCTADIENE""",0.1495,0.8375,2.762
"""1,5-DICHLOROPENTANE""",0.3717,0.7828,1.7522
"""1,5-HEXADIENE""",0.1375,0.8457,2.6203
"""1,5-PENTANEDIAMINE""",0.5971,0.8915,1.9938
"""1,5-PENTANEDIOL""",0.9352,0.8736,2.21
"""1,6-HEXANEDIOL""",1.6564,0.9719,1.2746
"""1-AMINO-2-PROPANOL""",0.6746,0.8776,2.1587
"""1-BROMOBUTANE""",0.3795,0.8917,1.9919
"""1-BROMOHEPTANE""",0.4481,0.8802,2.1267
"""1-BROMONAPHTHALENE""",0.1723,0.8295,2.9141
"""1-BROMOPROPANE""",0.4389,0.9167,1.7342
"""1-BUTANOL""",1.6267,1.0,0.6998
"""1-BUTENE""",0.1628,0.8604,2.3903
"""1-CHLORO-1,1-DIFLUOROETHANE""",0.1787,0.8556,2.4625
"""1-CHLORONAPHTHALENE""",0.4074,0.8834,2.0873
"""1-CHLOROPENTANE""",0.1817,0.8435,2.6574
"""1-cis-2-trans-4-TRIMETHYLCYCLOPENTANE""",0.1503,0.8381,2.7131
"""1-DECANOL""",2.2126,0.796,0.5602
"""1-DECENE""",0.2959,0.8254,2.5863
"""1-DECYNE""",1.0137,0.8727,2.2218
"""1-DODECANOL""",0.1927,0.7992,3.6279
"""1-DODECENE""",0.4196,0.8014,2.1791
"""1-EICOSENE""",0.4783,0.8287,2.9294
"""1-ETHYL-2-ISOPROPYLBENZENE""",1.6121,1.0,0.4441
"""1-ETHYLCYCLOHEXENE""",0.1547,0.8374,2.7645
