Clapeyron Database File
tc-PR; twu alpha Parameters [csvtype = like]
species,L,M,N
"""ALLYL ALCOHOL""",0.2426,0.8177,3.1614
"""ALLYLAMINE""",0.1671,0.8349,2.8092
"""alpha-HYDROXYISOBUTYRIC ACID""",0.4034,0.8066,3.4287
"""alpha-METHYLSTYRENE""",0.2195,0.8089,2.2509
"""alpha-PINENE""",0.86,0.3876,0.6519
"""AMMONIA""",0.2274,0.8645,2.332
"""ANETHOLE""",0.2153,0.8226,3.0539
"""ANILINE""",0.3532,0.8014,1.8754
"""ANISOLE""",0.2155,0.8417,2.6636
"""ANTHRACENE""",0.3896,0.8611,2.3803
"""ANTHRAQUINONE""",0.6492,0.8902,2.0088
"""ANTIMONY TRICHLORIDE""",1.1697,0.9943,0.5123
"""ARGON""",0.1228,0.9045,1.8539
"""ARSINE""",0.2754,0.8629,1.0266
"""BENZALDEHYDE""",0.4846,0.8284,1.426
"""BENZANTHRACENE""",1.7158,1.0,0.4691
"""BENZENE""",0.1261,0.846,2.6137
"""BENZOIC ACID""",2.2065,0.3775,0.7131
"""BENZOPHENONE""",0.3585,0.8508,2.5369
"""BENZOTHIOPHENE""",0.2751,0.8649,2.3262
"""BENZOTRICHLORIDE""",0.1479,0.8419,2.6847
"""BENZOTRIFLUORIDE""",0.6536,0.817,1.094
"""BENZOYL CHLORIDE""",0.963,0.9993,1.0217
"""BENZYL ALCOHOL""",0.0,0.7303,2.8558
"""BENZYL CHLORIDE""",1.8325,1.0,0.4178
"""BENZYL DICHLORIDE""",0.369,0.8674,1.9493
"""BENZYL ETHYL ETHER""",0.9635,0.9753,1.0392
"""BENZYL MERCAPTAN""",0.1754,0.8391,2.734
"""BENZYLAMINE""",0.2179,0.8349,2.8102
"""beta-PHELLANDRENE""",1.4441,1.0,0.5986
"""beta-PINENE""",0.2516,0.8551,2.4695
"""beta-PROPIOLACTONE""",0.3867,0.8417,1.6167
"""BICYCLO[2.2.1]HEPTANE""",0.0925,0.8467,2.6027
"""BICYCLO[2.2.2]OCTANE""",0.0,0.745,1.5711
"""BICYCLOHEXYL""",0.3978,0.8727,2.2209
"""BIPHENYL""",0.2267,0.8354,2.78
"""BIS(CHLOROMETHYL)ETHER""",0.1624,0.8343,2.821
"""BORON TRICHLORIDE""",0.0619,0.8409,2.7017
"""BORON TRIFLUORIDE""",0.235,0.8345,2.8171
"""BROMINE""",0.1361,0.869,2.271
"""BROMOBENZENE""",0.1904,0.8542,2.4828
"""BROMOCHLORODIFLUOROMETHANE""",0.116,0.8489,2.5677
"""BROMOCHLOROMETHANE""",0.1558,0.8416,2.3441
"""BROMODIFLUOROMETHANE""",0.1963,0.8003,1.8256
"""BROMOETHANE""",0.2408,0.878,2.154
"""BROMOMETHANE""",0.3704,0.8367,1.242
"""BROMOTRICHLOROMETHANE""",0.1442,0.8546,2.4766
"""BROMOTRIFLUOROETHYLENE""",0.1249,0.8487,2.4523
"""BROMOTRIFLUOROMETHANE""",0.1416,0.8587,2.4157
"""BUTANAL""",0.1976,0.85,2.5493
"""BUTYL VINYL ETHER""",0.1939,0.8326,2.8526
"""BUTYRONITRILE""",0.3738,0.8795,2.1357
"""CALCIUM""",0.4062,0.9669,1.3129
"""CAMPHOR""",0.1943,0.8426,2.6719
"""CARBON DIOXIDE""",0.1783,0.859,2.4107
"""CARBON DISULFIDE""",0.2513,0.8772,1.598
"""CARBON MONOXIDE""",0.0983,0.8777,2.1568
"""CARBON TETRACHLORIDE""",0.1866,0.8321,2.0128
"""CARBON TETRAFLUORIDE""",0.1653,0.8584,2.2953
"""CARBONYL FLUORIDE""",0.8691,0.6627,0.7896
"""CARBONYL SULFIDE""",0.1496,0.8679,2.0084
"""CHLORINE""",0.7082,0.8812,0.6306
"""CHLORINE TRIFLUORIDE""",0.8003,0.8316,0.8752
"""CHLOROACETALDEHYDE""",0.1523,0.831,2.8846
"""CHLOROACETIC ACID""",0.2276,0.8175,3.167
"""CHLOROACETYL CHLORIDE""",0.1952,0.8086,2.4941
"""CHLORODIFLUOROMETHANE""",0.4513,0.8267,1.2443
"""CHLOROFLUOROMETHANE""",0.2988,0.8945,1.9604
"""CHLOROFORM""",0.8613,0.8749,0.7514
"""CHLOROPENTAFLUOROETHANE""",0.7212,0.8703,0.954
"""CHLOROPRENE""",0.1799,0.8538,2.2482
"""CHLOROTRIFLUOROETHYLENE""",0.1855,0.8544,2.4796
"""CHLOROTRIFLUOROMETHANE""",0.14,0.8581,2.4249
"""CHRYSENE""",0.2447,0.8144,3.238
"""cis-1,2-DICHLOROETHYLENE""",0.5513,0.4822,0.6603
"""cis-1,2-DIMETHYLCYCLOHEXANE""",1.3197,1.0,0.5197
"""cis-1,2-DIMETHYLCYCLOPENTANE""",0.2627,0.8354,1.9977
"""cis-1,3-DIMETHYLCYCLOHEXANE""",1.2776,1.0,0.5421
"""cis-1,3-DIMETHYLCYCLOPENTANE""",0.733,0.9034,1.0082
"""cis-1,3-PENTADIENE""",1.5144,1.0,0.3805
"""cis-1,4-DIMETHYLCYCLOHEXANE""",1.3639,1.0,0.5002
"""cis-1-PROPENYLBENZENE""",0.1813,0.8363,2.7823
"""cis-2-BUTENE""",0.9657,0.9336,0.6663
"""cis-2-DECENE""",0.7558,0.8497,2.2249
"""cis-2-HEPTENE""",0.241,0.8508,2.5366
"""cis-2-HEXENE""",0.1773,0.8439,2.6493
"""cis-2-METHYLCYCLOHEXANOL""",0.617,0.8802,2.1262
"""cis-2-OCTENE""",0.2139,0.8362,2.7862
"""cis-2-PENTENE""",0.4501,0.8147,1.2942
"""cis-3-HEPTENE""",0.1575,0.8345,2.7108
"""cis-3-HEXENE""",0.159,0.8411,2.6893
"""cis-3-OCTENE""",0.2074,0.836,2.7888
"""cis-4-OCTENE""",0.2098,0.8358,2.7939
"""cis-CROTONITRILE""",0.4426,0.8947,1.9577
"""cis-DECAHYDRONAPHTHALENE""",1.4759,1.0,0.4914
"""CROTYL GLYCOL ETHER""",0.1808,0.801,3.3078
"""CUMENE""",1.2308,1.0,0.6626
"""CUMENE HYDROPEROXIDE""",0.8979,0.855,2.4709
"""CYANOGEN""",1.0658,1.0,0.7104
"""CYANOGEN CHLORIDE""",0.8591,1.0,1.0
"""CYCLOBUTANE""",0.1791,0.8665,2.3049
"""CYCLOHEPTANE""",0.2235,0.8524,2.215
"""CYCLOHEPTENE""",1.3499,1.0,0.519
"""CYCLOHEXANE""",0.3691,0.812,1.3617
"""CYCLOHEXANECARBOXALDEHYDE""",1.7393,0.6009,0.3817
"""CYCLOHEXANOL""",0.6028,0.3588,0.9287
"""CYCLOHEXANONE""",0.1909,0.8455,2.6226
"""CYCLOHEXENE""",0.7258,0.8552,0.8576
"""CYCLOHEXYL MERCAPTAN""",0.1696,0.8471,2.5962
"""CYCLOHEXYLAMINE""",0.3475,0.8742,2.2013
"""CYCLOHEXYLBENZENE""",0.1288,0.7571,2.4983
"""CYCLOOCTANE""",0.1303,0.8378,2.7167
"""CYCLOOCTENE""",0.9701,0.8984,0.7757
"""CYCLOPENTADIENE""",0.4659,0.949,1.4537
"""CYCLOPENTANE""",0.3949,0.8261,1.2945
"""CYCLOPENTANONE""",0.1758,0.8436,2.6543
"""CYCLOPENTENE""",0.5759,0.8574,1.0149
"""CYCLOPENTYLAMINE""",0.8789,0.8632,0.9123
"""CYCLOPROPANE""",0.2163,0.8563,1.7375
"""CYCLOPROPANE CARBOXYLIC ACID""",1.1518,0.9963,1.0638
"""DECAFLUOROBUTANE""",0.2202,0.815,2.4682
"""DECAMETHYLCYCLOPENTASILOXANE""",0.8524,0.6698,1.2607
"""DECANAL""",0.982,0.8073,1.0697
"""DEUTERIUM""",0.1486,0.9968,1.0587
"""DEUTERIUM OXIDE""",0.3816,0.8551,1.975
"""DI(2-CHLOROETHYL)ETHER""",0.214,0.8147,2.6063
"""DI(2-ETHYLHEXYL)ADIPATE""",1.1724,0.3943,0.6375
"""DIBENZOFURAN""",0.2601,0.8455,2.6231
"""DIBENZOPYRROLE""",0.4156,0.8646,2.3312
"""DIBENZOTHIOPHENE""",0.2659,0.8463,2.6034
"""DIBORANE""",0.8894,0.9303,0.6074
"""DIBROMOMETHANE""",0.1898,0.8632,2.3499
"""DIBUTYL SEBACATE""",0.6524,0.8076,2.6648
"""DICHLOROACETYL CHLORIDE""",0.1864,0.8229,2.475
"""DICHLORODIETHYLSILANE""",0.0754,0.8102,3.1271
"""DICHLORODIFLUOROMETHANE""",0.1552,0.8601,2.3904
"""DICHLOROFLUOROMETHANE""",0.1441,0.8515,2.525
"""DICHLOROMETHANE""",1.3392,1.0,0.4661
"""DICHLOROSILANE""",0.1549,0.8086,1.8724
"""DICYCLOHEXYL SULFIDE""",0.3608,0.8661,2.3105
"""DICYCLOPENTADIENE""",1.2989,1.0,0.5834
"""DIETHANOLAMINE""",0.6157,0.8458,2.6175
"""DIETHYL DISULFIDE""",0.2821,0.8598,2.3997
"""DIETHYL ETHER""",0.1481,0.8385,2.7442
"""DIETHYL MALEATE""",0.7566,0.9137,1.7627
"""DIETHYL PHTHALATE""",0.3018,0.8226,3.0553
"""DIETHYL SULFIDE""",0.731,0.8396,0.9819
"""DIETHYLAMINE""",0.749,0.8319,0.991
"""DIETHYLENE GLYCOL DIETHYL ETHER""",0.2876,0.8166,3.186
"""DIETHYLENE GLYCOL ETHYL ETHER ACETATE""",0.6237,0.8766,2.1711
"""DIETHYLENE GLYCOL MONOPROPYL ETHER""",0.2422,0.8136,3.257
"""DIETHYLSULFITE""",0.7781,0.949,1.4502
"""DIFLUOROMETHANE""",0.2483,0.8644,2.3332
"""DIFLUOROMETHYL TRIFLUOROMETHYL ETHER""",0.1635,0.8344,2.8184
"""DIHEXYL ADIPATE""",0.5295,0.8183,3.1487
"""DIIODOMETHANE""",0.0374,0.8366,2.7779
"""DIISOBUTYL KETONE""",0.4671,0.8736,2.2095
"""DIISOBUTYLAMINE""",1.1604,1.0,0.9027
"""DIISOPENTYLSULFIDE""",0.3068,0.8226,2.9191
"""DIISOPROPYL ETHER""",0.8175,0.8468,0.9784
"""DIKETENE""",0.9668,0.8967,0.9169
"""DIMETHYL CARBONATE""",0.3041,0.8577,2.43
"""DIMETHYL DISULFIDE""",0.9438,0.8665,0.6723
"""DIMETHYL ETHER""",0.1755,0.8612,2.3794
"""DIMETHYL SUCCINATE""",0.5823,0.8815,2.1101
"""DIMETHYL SULFIDE""",0.3882,0.822,1.2847
"""DIMETHYL SULFOXIDE""",0.6719,0.8742,2.2014
"""DIMETHYL TEREPHTHALATE""",0.4058,0.8498,2.5525
"""DIMETHYL-2,6-NAPHTHALENEDICARBOXYLATE""",0.3177,0.8193,3.1267
"""DIMETHYLACETYLENE""",0.5219,0.8304,1.1704
"""DIMETHYLALUMINUM CHLORIDE""",0.0,0.7764,2.5434
"""DIMETHYLAMINE""",0.2829,0.7612,1.6954
"""DIMETHYLCHLOROSILANE""",0.5197,0.9469,1.4709
"""DIMETHYLDICHLOROSILANE""",0.9418,0.8691,0.7676
"""DIMETHYLDIMETHOXYSILANE""",0.0,0.708,2.2484
"""DI-n-BUTYL ETHER""",0.4304,0.8118,1.8781
"""DI-n-BUTYL PHTHALATE""",0.6484,0.8505,2.5411
"""DI-n-BUTYL SULFONE""",0.2756,0.8112,3.3132
"""DI-n-BUTYLAMINE""",0.4179,0.8603,2.3929
"""DI-n-HEXYL ETHER""",0.2614,0.8066,3.4299
"""DI-n-OCTYL ETHER""",0.3857,0.8076,3.4038
"""DI-n-OCTYLAMINE""",0.5812,0.8225,2.3455
"""DI-n-PENTYL ETHER""",0.6744,0.9067,1.8322
"""DI-n-PROPYL DISULFIDE""",0.7214,0.8164,1.2029
"""DI-n-PROPYL ETHER""",0.2476,0.847,2.598
"""DI-n-PROPYL SULFIDE""",0.2582,0.8409,2.5098
"""DI-n-PROPYL SULFONE""",1.3301,0.9991,0.8721
"""DIOCTYL ADIPATE""",1.457,0.8625,2.3602
"""DIPHENYL ETHER""",0.4707,0.8886,2.0269
"""DIPHENYLAMINE""",0.3703,0.8494,2.5564
"""DIPHENYLDICHLOROSILANE""",0.9808,0.8441,1.4366
"""DIPHENYLMETHANE""",0.2735,0.8354,2.8001
"""DIPROPYLENE GLYCOL MONOETHYL ETHER""",1.4872,0.8873,2.0418
"""DIPROPYLENE GLYCOL n-PROPYL ETHER""",1.5215,0.8847,2.0723
"""DI-sec-BUTYL ETHER""",0.289,0.846,2.6144
"""DISILANE""",0.7157,1.0,0.7203
"""DI-tert-BUTYL ETHER""",0.2211,0.8444,2.642
"""DIVINYL ETHER""",0.2,0.849,2.565
"""DODECANAL""",0.2951,0.8141,3.2449
"""epsilon-CAPROLACTAM""",1.6985,1.0,0.5282
"""ETHANE""",0.1459,0.878,2.1536
"""ETHANOL""",0.9861,0.9642,1.3338
"""ETHYL ACETATE""",1.3115,1.0,0.6586
"""ETHYL ACRYLATE""",1.2992,0.9998,0.6727
"""ETHYL ALUMINUM DICHLORIDE""",0.2122,0.8161,3.1993
"""ETHYL BENZOATE""",1.0243,0.9984,1.0375
"""ETHYL CHLORIDE""",0.9584,0.9876,0.6703
"""ETHYL CHLOROFORMATE""",0.3283,0.8067,3.4265
"""ETHYL FLUORIDE""",0.8499,0.9991,0.8227
"""ETHYL FORMATE""",0.3077,0.8089,1.7604
"""ETHYL IODIDE""",0.8496,0.6857,0.6341
"""ETHYL ISOBUTYRATE""",0.7795,0.9132,1.2444
"""ETHYL ISOVALERATE""",1.706,0.9772,0.5219
"""ETHYL MERCAPTAN""",0.1981,0.8323,1.9391
"""ETHYL METHACRYLATE""",0.1949,0.8242,2.5833
"""ETHYL n-BUTYRATE""",0.2481,0.8418,2.6858
"""ETHYL PROPIONATE""",0.2515,0.8141,2.4072
"""ETHYL PROPYL SULFIDE""",0.238,0.8506,2.5393
"""ETHYL t-BUTYL SULFIDE""",0.1797,0.8246,2.4258
"""ETHYL TERT-BUTYL DISULFIDE""",0.2099,0.8418,2.6855
"""ETHYL tert-PENTYL ETHER""",0.3108,0.7771,1.7846
"""ETHYL VINYL ETHER""",0.1633,0.8446,2.6372
"""ETHYLACETYLENE""",0.1108,0.8357,2.7951
"""ETHYLAL""",0.4924,0.8962,1.9424
"""ETHYLAMINE""",0.9938,0.8113,0.7432
"""ETHYLBENZENE""",0.4991,0.8229,1.3553
"""ETHYLCHLOROACETATE""",0.6688,0.7966,1.2271
"""ETHYLCYCLOHEXANE""",1.2689,1.0,0.5572
"""ETHYLCYCLOPENTANE""",0.2247,0.8408,2.2443
"""ETHYLENE""",0.2298,0.8567,1.4794
"""ETHYLENE GLYCOL""",1.5753,1.0,0.6614
"""ETHYLENE GLYCOL MONOBUTYL ETHER ACETATE""",0.2527,0.8247,3.0106
"""ETHYLENE OXIDE""",0.5843,0.8549,1.0068
"""ETHYLENEDIAMINE""",0.2685,0.8362,2.7861
"""ETHYLENEIMINE""",0.6038,0.0002,0.5878
"""ETHYLTRICHLOROSILANE""",0.1294,0.8187,2.6009
"""ETHYNYLBENZENE""",0.9486,0.8888,2.0248
"""FERROUS CHLORIDE""",0.7896,0.7355,0.4903
"""FLUORANTHENE""",0.607,0.8968,1.9358
"""FLUORENE""",0.6168,0.8155,1.355
"""FLUORINE""",0.3755,0.8831,1.0063
"""FLUOROBENZENE""",0.1605,0.8474,2.591
"""FORMALDEHYDE""",0.0925,0.8452,2.6272
"""FORMANILIDE""",0.2315,0.8184,3.1452
"""FORMIC ACID""",0.2224,0.852,2.517
"""FURAN""",1.3183,0.9998,0.4842
"""FURFURAL""",0.6091,0.8412,1.3255
"""FURFURYL ALCOHOL""",1.1127,0.8829,2.0892
"""gamma-BUTYROLACTONE""",0.4104,0.8527,1.8836
"""gamma-VALEROLACTONE""",0.5326,0.9127,1.7723
"""GERMANIUM""",0.5558,0.9998,1.0089
"""GERMANIUM TETRACHLORIDE""",1.4704,0.9999,0.3888
"""GLUTARIC ACID""",1.279,0.8838,1.3614
"""GLUTARIC ANHYDRIDE""",0.5894,0.8993,1.9084
"""GLYCERYL TRIACETATE""",0.3262,0.806,3.445
"""HALOTHANE""",0.1616,0.8445,2.6402
"""HELIUM-4""",0.0063,1.2175,1.0909
"""HEPTANAL""",0.307,0.8548,2.4746
"""HEXACHLOROBENZENE""",0.0314,0.0002,0.918
"""HEXACHLOROETHANE""",0.0685,0.7664,2.3012
"""HEXAETHYLBENZENE""",0.8562,0.9305,1.6091
"""HEXAFLUORO-1,3-BUTADIENE""",1.2816,0.6368,0.6714
"""HEXAFLUOROACETONE""",0.1082,0.8165,3.1882
"""HEXAFLUOROBENZENE""",0.2072,0.8334,2.8375
"""HEXAFLUOROETHANE""",0.22,0.8326,2.1321
"""HEXAMETHYLBENZENE""",0.9052,0.9354,1.5664
"""HEXAMETHYLCYCLOTRISILOXANE""",1.8195,0.7291,0.6037
"""HEXAMETHYLDISILAZANE""",0.4995,0.8819,2.1061
"""HEXAMETHYLDISILOXANE""",0.9293,0.391,0.6036
"""HEXANAL""",0.2555,0.8369,2.4406
"""HEXANENITRILE""",0.4094,0.8744,2.1996
"""HYDRAZINE""",0.4609,0.8428,1.5279
"""HYDROGEN""",1.5147,-3.7959,-0.1377
"""HYDROGEN BROMIDE""",0.875,1.0,0.5499
"""HYDROGEN CHLORIDE""",0.1704,0.8783,2.1503
"""HYDROGEN CYANIDE""",0.4746,0.8982,1.9207
"""HYDROGEN IODIDE""",0.9928,1.0,0.4174
"""HYDROGEN PEROXIDE""",0.3191,0.8649,2.2883
"""HYDROGEN SELENIDE""",1.0805,0.9889,0.4098
"""HYDROGEN SULFIDE""",0.112,0.8688,2.2735
"""INDANE""",0.2626,0.8437,2.2278
"""INDENE""",0.2242,0.8486,2.5723
"""INDOLE""",0.584,0.8283,1.3847
"""IODINE""",0.0945,0.8615,2.3747
"""IODOBENZENE""",0.3396,0.8234,1.597
"""IRON""",0.0273,0.0015,0.1183
"""IRON PENTACARBONYL""",2.0688,1.0,0.3599
"""ISOBUTANE""",0.1575,0.8601,2.3951
"""ISOBUTENE""",0.1873,0.8657,2.3151
"""ISOBUTYL ACETATE""",1.3088,1.0,0.7314
"""ISOBUTYL CHLORIDE""",0.1575,0.8478,2.585
"""ISOBUTYL FORMATE""",0.2823,0.8167,2.2469
"""ISOBUTYL ISOBUTYRATE""",0.1536,0.78,2.6562
"""ISOBUTYL MERCAPTAN""",0.373,0.8138,1.4766
"""ISOBUTYL METHACRYLATE""",0.2602,0.8244,2.5424
"""ISOBUTYLAMINE""",0.2509,0.8485,2.5729
"""ISOBUTYLBENZENE""",0.7286,0.8939,1.2193
"""iso-BUTYLCYCLOHEXANE""",0.1652,0.8195,2.7728
"""ISOBUTYL-tert-BUTYL ETHER""",1.23,1.0,0.694
"""ISOBUTYRIC ACID""",0.2778,0.8191,3.1314
"""ISOBUTYRIC ANHYDRIDE""",0.5905,0.889,2.0222
"""ISOBUTYRONITRILE""",0.1861,0.8373,2.7649
"""ISOPENTANE""",0.2084,0.8418,2.1382
"""ISOPENTYL ISOVALERATE""",0.3071,0.8295,2.9136
"""ISOPHTHALOYL CHLORIDE""",0.9385,0.8747,1.3298
"""ISOPRENE""",1.4359,1.0,0.4061
"""ISOPROPANOL""",1.6453,0.7944,0.7799
"""ISOPROPYL ACETATE""",1.3324,0.867,0.6522
"""ISOPROPYL BUTYL ETHER""",0.2175,0.835,2.8071
"""ISOPROPYL CHLORIDE""",0.14,0.8361,2.3597
"""ISOPROPYL IODIDE""",0.393,0.9153,1.7471
"""ISOPROPYL MERCAPTAN""",0.2766,0.8175,1.6365
"""ISOPROPYL MYRISTATE""",1.2489,0.864,2.3388
"""ISOPROPYLAMINE""",0.1185,0.8006,2.5123
"""ISOPROPYLCYCLOHEXANE""",0.2064,0.8439,2.65
"""ISOPROPYLCYCLOPENTANE""",0.2011,0.8472,2.595
"""ISOQUINOLINE""",0.2715,0.8359,2.1118
"""ISOVALERIC ACID""",0.2363,0.8049,3.4703
"""ISOXAZOLE""",0.2214,0.861,2.3817
"""KETENE""",1.043,0.5217,0.4925
"""KRYPTON""",0.1016,0.8956,1.9487
"""LITHIUM""",0.4272,1.0,0.7454
"""LITHIUM IODIDE""",0.327,0.9193,1.7094
"""L-MENTHOL""",0.634,0.8693,2.2661
"""MALEONITRILE""",1.3381,0.96,1.0598
"""m-CHLOROANILINE""",0.2816,0.8258,2.4381
"""m-CHLORONITROBENZENE""",0.5973,0.9097,1.8023
"""m-CHLOROPHENOL""",0.5758,0.907,1.829
"""m-CRESOL""",0.7237,0.7382,1.1935
"""m-CYMENE""",0.2618,0.8211,2.3458
"""m-DIBROMOBENZENE""",0.6762,0.8726,1.0797
"""m-DICHLOROBENZENE""",0.4014,0.8265,1.5371
"""m-DIETHYLBENZENE""",0.1557,0.828,2.9428
"""m-DIISOPROPYLBENZENE""",0.8346,0.3478,0.8148
"""m-DIVINYLBENZENE""",1.1205,1.0,0.8005
"""MERCURY""",0.0747,0.9751,1.2196
"""MESITYL OXIDE""",0.2456,0.7685,1.9226
"""MESITYLENE""",0.3453,0.8343,2.1256
"""METHACROLEIN""",0.1494,0.8448,2.6349
"""METHACRYLONITRILE""",0.4905,0.927,1.6395
"""METHANE""",0.1471,0.9074,1.8253
"""METHANOL""",0.6755,0.9141,1.7586
"""METHYL ACETATE""",0.2075,0.8436,2.6544
"""METHYL ACRYLATE""",0.6459,0.8908,1.2795
"""METHYL alpha-METHOXYISOBUTYRATE""",0.1869,0.8253,2.998
"""METHYL BENZOATE""",0.3545,0.8627,2.3576
"""METHYL CHLORIDE""",0.1633,0.8685,2.2771
"""METHYL CHLOROACETATE""",0.2179,0.8299,2.9064
"""METHYL CHLOROFORMATE""",0.1815,0.8282,2.9391
"""METHYL DICHLOROSILANE""",0.1787,0.8488,2.568
"""METHYL DIETHANOLAMINE""",0.2346,0.8098,3.3446
"""METHYL DODECANOATE""",0.2352,0.7819,3.1731
"""METHYL ETHYL ETHER""",1.6527,0.9083,0.4143
"""METHYL ETHYL KETONE""",0.3362,0.8276,1.873
"""METHYL ETHYL SULFIDE""",0.7951,0.8407,0.7922
"""METHYL FLUORIDE""",0.2566,0.873,1.9682
"""METHYL FORMATE""",0.1483,0.8429,2.6673
"""METHYL IODIDE""",0.1592,0.8693,2.2666
"""METHYL ISOBUTYL ETHER""",0.184,0.8424,2.675
"""METHYL ISOBUTYRATE""",0.1711,0.83,2.9036
"""METHYL ISOPROPENYL KETONE""",0.1478,0.8372,2.7683
"""METHYL ISOPROPYL ETHER""",1.0104,0.9364,0.7293
"""METHYL ISOPROPYL KETONE""",1.5206,0.9746,0.5187
"""METHYL ISOPROPYL SULFIDE""",0.137,0.8396,2.6563
"""METHYL MERCAPTAN""",0.1414,0.8628,2.3559
"""METHYL METHACRYLATE""",0.116,0.7669,2.2572
"""METHYL n-BUTYL ETHER""",0.1669,0.8372,2.7671
"""METHYL n-BUTYL SULFIDE""",0.249,0.8298,2.2562
"""METHYL n-BUTYRATE""",0.1877,0.8316,2.8732
"""METHYL n-PENTYL ETHER""",0.1734,0.8337,2.8331
"""METHYL n-PROPYL ETHER""",0.1639,0.8433,2.6593
"""METHYL n-PROPYL SULFIDE""",0.2374,0.8253,2.0811
"""METHYL PROPIONATE""",0.1722,0.8328,2.8497
"""METHYL sec-BUTYL ETHER""",0.1785,0.8415,2.6902
"""METHYL SILICATE""",0.7389,0.8454,1.2684
"""METHYL STEARATE""",1.2022,0.3841,1.2195
"""METHYL t-BUTYL SULFIDE""",0.3373,0.7895,1.4511
"""METHYL tert-BUTYL ETHER""",0.9289,0.7824,0.7315
"""METHYL tert-PENTYL ETHER""",0.2026,0.8479,2.5836
"""METHYL t-PENTYL SULFIDE""",0.1562,0.8401,2.7151
"""METHYL TRICHLOROSILANE""",0.21,0.8417,2.275
"""METHYL VINYL DICHLOROSILANE""",0.1538,0.8375,2.7617
"""METHYL VINYL ETHER""",0.1284,0.8404,2.71
"""METHYLACETYLENE""",0.1387,0.8489,2.5675
"""METHYLAL""",0.0843,0.8228,3.0508
"""METHYLAMINE""",1.3043,1.0,0.5774
"""METHYLCYCLOHEXANE""",0.9072,0.8925,0.7499
"""METHYLCYCLOPENTANE""",0.3839,0.8082,1.3741
"""m-ETHYLTOLUENE""",1.1294,1.0,0.782
"""m-METHYLSTYRENE""",0.1748,0.8332,2.8418
"""MONOCHLOROBENZENE""",0.3875,0.8225,1.4703
"""MORPHOLINE""",0.269,0.8536,2.4921
"""m-PHENYLENEDIAMINE""",0.571,0.8929,1.9778
"""m-TOLUALCOHOL""",1.7641,1.0,0.683
"""m-TOLUIDINE""",0.2241,0.8316,2.8732
"""m-XYLENE""",0.3506,0.8332,1.8594
"""N,N-DIETHYLANILINE""",1.5646,0.6021,0.651
"""N,N-DIETHYLHYDROXYLAMINE""",0.8191,0.8266,1.5803
"""N,N-DIMETHYLACETAMIDE""",1.1894,0.8635,0.7238
"""N,N-DIMETHYLANILINE""",1.3485,1.0,0.6708
"""N,N-DIMETHYLFORMAMIDE""",0.3106,0.8463,2.1617
"""N-AMINOETHYL ETHANOLAMINE""",0.4239,0.805,3.471
"""NAPHTHALENE""",0.2984,0.8065,1.8271
"""n-BUTANE""",0.1867,0.8645,2.3327
"""n-BUTYL ACETATE""",0.2615,0.8387,2.7408
"""n-BUTYL ACRYLATE""",0.5371,0.8968,1.9355
"""n-BUTYL CHLORIDE""",0.1314,0.8396,2.7252
"""n-BUTYL FORMATE""",0.2568,0.8163,2.3635
"""n-BUTYL MERCAPTAN""",0.3545,0.821,1.6093
"""n-BUTYL n-BUTYRATE""",0.2692,0.8342,2.8134
"""n-BUTYL NONANOATE""",0.8269,0.8438,2.6521
"""n-BUTYL PROPIONATE""",0.4374,0.7791,1.7914
"""n-BUTYL STEARATE""",1.3507,0.8567,2.445
"""n-BUTYL VALERATE""",0.5008,0.8362,2.6431
"""n-BUTYLAMINE""",0.1686,0.8176,2.6228
"""n-BUTYLBENZENE""",0.3988,0.8283,1.8875
"""n-BUTYLCYCLOHEXANE""",1.7503,1.0,0.4162
"""n-BUTYLCYCLOPENTANE""",0.2863,0.8329,2.2935
"""n-BUTYRIC ACID""",0.4226,0.8406,2.7061
"""n-DECANE""",0.3677,0.8119,2.2188
"""n-DECYL MERCAPTAN""",0.3488,0.8369,2.7738
"""n-DECYLAMINE""",0.3295,0.8229,3.0487
"""n-DECYLBENZENE""",0.5552,0.8671,2.2961
"""n-DECYLCYCLOHEXANE""",0.4186,0.8354,2.6591
"""n-DOCOSANE""",0.4788,0.799,2.8499
"""n-DODECANE""",0.3956,0.8112,2.3549
"""n-DODECANOIC ACID""",0.2235,0.7845,4.0881
"""n-DOTRIACONTANE""",0.5895,0.8126,3.2794
"""n-EICOSANE""",0.4771,0.816,2.9209
"""NEON""",0.1887,0.947,1.4698
"""NEOPENTANE""",0.1268,0.8494,2.5589
"""n-HENEICOSANE""",0.4546,0.8186,3.1414
"""n-HEPTADECANE""",0.5257,0.7969,2.3092
"""n-HEPTANE""",0.3297,0.8222,1.9615
"""n-HEPTANOIC ACID""",0.2992,0.7514,2.8859
"""n-HEPTYL ACETATE""",0.296,0.8246,2.9884
"""n-HEPTYL FORMATE""",0.495,0.8772,2.1638
"""n-HEPTYL MERCAPTAN""",0.2915,0.8394,2.5059
"""n-HEPTYLAMINE""",0.2578,0.8286,2.9311
"""n-HEPTYLBENZENE""",0.5071,0.8802,2.1262
"""n-HEXACOSANE""",0.7878,0.757,1.8899
"""n-HEXADECANE""",0.5372,0.7929,2.1458
"""n-HEXANE""",0.2557,0.8377,2.1871
"""n-HEXATRIACONTANE""",0.7189,0.7339,2.227
"""n-HEXYL ACETATE""",0.3008,0.8331,2.8432
"""n-HEXYL FORMATE""",0.1939,0.8186,3.1427
